title,true,pred
"Emma Watson Urges US Women to Consider Gender Equality Nov 8, Gets Massive Wake-Up Call on Facebook",FAKE,REAL
Anxiety grows among GOP congressional staffers,FAKE,REAL
VA admits it has no contracts in place for billions of dollars spent on veterans’ medical care,REAL,FAKE
DIY: Learn to Make the Most Powerful Natural Antibiotic Ever – Kills Any Infection In The Body,FAKE,REAL
"America Might Not Deserve Trump, But Dems and Hillary Deserved To Lose",FAKE,REAL
Why Trump Won and Why Clinton Lost    :,FAKE,REAL
Desperate Obama RIPS Comey: 'We Don't Operate On Innuendo' | Daily Wire,FAKE,REAL
"No, it's not 'World War 3'",REAL,FAKE
Bad idea: Shell’s gearing up to start drilling in the Arctic again,REAL,FAKE
Since Donald Trump Won The Presidency… Ford Shifts Truck Production From Mexico To Ohio | EndingFed News Network,FAKE,REAL
"To Protect and Swerve: Police Chief Caught Speeding, Gets a Laugh but No Ticket (Video)",FAKE,REAL
BREAKING: Since Donald Trump Won The Presidency Ford Shifts Truck Production From Mexico To Ohio,FAKE,REAL
BEARS BEWARE: This Just Hit One Of The Highest Levels In The Past 6 Years!,FAKE,REAL
Vatican Ends Scrutiny Of U.S. Nuns,REAL,FAKE
The Republicans' Red Scare,REAL,FAKE
Will Hillary Accept Defeat?,FAKE,REAL
PTSD: Identification and Compensation,FAKE,REAL
"Calif., Ore. allow women to get birth control without a prescription",REAL,FAKE
Alabama Prison Officials Retaliate Against Prison Strike Leader By Cutting Water To Cell,FAKE,REAL
Does blood on shoe link suspect to Washington slayings?,REAL,FAKE
Here's why creating single-payer health care in America is so hard,REAL,FAKE
President-Elect Donald Trump must ensure continued efforts toward a Palestinian state,FAKE,REAL
"Ashutosh attempts suicide at protest rally, rescued while proofreading suicide note",FAKE,REAL
Hillary Clinton has a deep commitment.,FAKE,REAL
Hillary Clinton’s absurd Bernie smear: Why attacking him from the right on healthcare makes literally no sense at all,REAL,FAKE
Comment on 184 U.S. generals and admirals endorse Trump for Commander-In-Chief by Tonya Parnell,FAKE,REAL
Stranded in Yemen: Americans left to find own way out,REAL,FAKE
Colin Powell (Pronounced “Colon Pao”) Endorses Hillary Clinton,FAKE,REAL
Hillary Clinton's first test,REAL,FAKE
"The Oregon militia standoff, explained",REAL,FAKE
Tribute to the Last Honorable US Senator: The Story of Paul Wellstone’s Suspected Assassination,FAKE,REAL
Clinton Camp in Damage-Control Mode Over 'Top Secret' Emails,REAL,FAKE
Elite conservative moneymen remain on sidelines,REAL,FAKE
The Man Who Will Not Bow to Fearmongering,REAL,FAKE
"Hope, Change, Lies and Greatness",FAKE,REAL
AUSTRIA: Freedom Party leader calls Chancellor Angela Merkel the “most dangerous woman in Europe”,FAKE,REAL
Tech” Malaise Pricks San Francisco Office Space Bubble,FAKE,REAL
"If Donald Trump gets rattled by press, how would he handle Putin?",REAL,FAKE
Everyone getting hammered tonight for bad reasons,FAKE,REAL
"Jordanian fighter jets strike hard at ISIS, pay tribute to murdered pilot",REAL,FAKE
SC Gov. Nikki Haley Announces She’s Voting For Donald Trump,FAKE,REAL
Why Isn’t NSA Surveillance an Election Issue?,FAKE,REAL
Eric Trump ‘Charity’ Spent $880K at Family-Owned Golf Resorts,REAL,FAKE
Researchers Build AI That Can Control Human Speech,FAKE,REAL
Bashar al-Assad is losing ground in Syria,REAL,FAKE
Obama and Putin outline competing visions on Syria,REAL,FAKE
"Clinton Foundation: 'Yes, we made mistakes'",REAL,FAKE
"U-M’s New ‘Chief Diversity Officer’ Will Collect $385,000 per Year",FAKE,REAL
Trolls 101 —- How To Identify Trolls And Forum Spies,FAKE,REAL
"74 children executed by ISIS for 'crimes' that include refusal to fast, report says",REAL,FAKE
'There are many instances’ of voter fraud: GOP VP candidate Pence,FAKE,REAL
Comments circulating about the Republican presidential candidate,FAKE,REAL
Japan Enhances Early Tsunami Warning Systems,REAL,FAKE
"Trump's economic team has a lot of billionaires, very few economic experts",REAL,FAKE
Obama to name Marine Gen. Dunford chairman of Joint Chiefs of Staff,REAL,FAKE
Who Lost Iraq?,REAL,FAKE
'Racist and sexist’ complaints against Aussie lamb advert rejected,FAKE,REAL
NASA to test in flight folding wing,FAKE,REAL
Five Filipino hostages freed by Somali pirates reunite with families,FAKE,REAL
The Trump Recession: He’s linked himself to potential economic calamity with Brexit stance,REAL,FAKE
Our Debt to Paula Jones,FAKE,REAL
Superbug cases spur FDA warning on dirty medical scopes,REAL,FAKE
Sufism in the Service of Empire: the Case of the Maryamiyyah,FAKE,REAL
WATCH: Joe Biden senses ‘Danger’ for Hillary in this PRICELESS reaction to #WeinerGate development,FAKE,REAL
Afraid of What? The Woman Who Accused Trump of Raping Her at 13 Just Dropped Her Lawsuit,FAKE,REAL
McConnell Promises 9/11 First Responders Will Get Healthcare Bill,REAL,FAKE
"For Trump, a new ‘rigged’ system: The election itself",REAL,FAKE
Hillary Clinton’s Countless Choices Could Hinge on 2016 Election,REAL,FAKE
Don’t Believe The Myth That Weightlifting Will Slow You Down,FAKE,REAL
Scientists Study Effects of Extreme Weather on Crops,REAL,FAKE
The Powerful Act Immoral as they Also Suffer from Herd Mentality,FAKE,REAL
Diehard GOP mom: No mother could ever vote for Trump,REAL,FAKE
Trump: O'Malley 'weak' and 'pathetic' for apologizing to Black Lives Matter protestors,REAL,FAKE
They’re already trying to steal 2016: Inside the GOP voting-rights scheme intended to derail democracy,REAL,FAKE
Parents Of American Woman Held By ISIS Say They Have Been Notified Of Her Death,REAL,FAKE
A sharp exchange over election-year polling offers thoughts for the rest of us,REAL,FAKE
High Court Judges looking for a Truss to support them. More soon.,FAKE,REAL
"Kim Davis Could Pay As Much As $225,000 In Legal Costs For Her Publicity Stunt",FAKE,REAL
Will the Comey bombshell really shake up the 2016 race?,REAL,FAKE
"Senior Clinton aide maintained top secret clearance amid email probe, letters show",REAL,FAKE
Russian Passenger Plane Crashes In Sinai With 224 Aboard,REAL,FAKE
Clinton in the final stretch: winning over anti-Trump contingent may be best play,REAL,FAKE
"[WATCH] Univ Of Alabama Students Try To Protest National Anthem, Then A Veteran Shows Up",FAKE,REAL
"NATIONAL REVIEW, Conservatism Inc., Plan To Cave EVEN MORE On Immigration!",FAKE,REAL
What Pentagon would gain from Bowe Bergdahl desertion charge (+video),REAL,FAKE
The Myth of the McMahon Line,FAKE,REAL
'Repugnant': Families of War Dead Demand Apology From Trump,REAL,FAKE
"After vowing to end two wars, Obama may leave three behind",REAL,FAKE
America’s Streets Will Run With Blood- Mike Adams,FAKE,REAL
Why Hillary Clinton was told not to be a trial lawyer: she didn't have a wife at home,REAL,FAKE
New Antarctic Expedition Finds 2-Million-Year-Old Microbes,REAL,FAKE
What I Learned Watching 15 Hours of Cruz Family Videos,REAL,FAKE
2006 Audio Emerges of Hillary Clinton Proposing Rigging Palestine Election,REAL,FAKE
Fox News and the Duggars reach a disgusting new low: The twisted persecution complex in last night’s insane interview,REAL,FAKE
The no-transparency election,REAL,FAKE
Senate Blocks Bill To End Government Collection Of Phone Records,REAL,FAKE
May puts nation on high-poppy alert,FAKE,REAL
"Dear America, Let’s Now Unite and Flood Our Nation With Optimism",FAKE,REAL
Last Stand For ISIS?,FAKE,REAL
How Congress is giving new life (and scope) to 'brinkmanship',REAL,FAKE
Would Earth Day’s creator have celebrated this Earth Day?,REAL,FAKE
"""America has a simple ideology"": how one of Russia's top US experts explains America",REAL,FAKE
DNC Head Leaked 2nd Debate Question to Hillary,FAKE,REAL
Networks Continue to Ignore Obamacare Collapse,FAKE,REAL
WH Press Secretary Says Obama's Denial About Clinton Server Was 'Entirely Factual',FAKE,REAL
"Hillary supporters: We're excited, too, but also practical",REAL,FAKE
WATCH: Mass Shooting Occurs During #TrumpRiot; Media Ignores (Video),FAKE,REAL
Fashwave Friday: Endgame,FAKE,REAL
SECRET RECORDINGS FUELED FBI FEUD IN CLINTON PROBE,FAKE,REAL
Inside the war on coal,REAL,FAKE
‘Arab Spring’ and the Washington-Brussels-Riyadh Axis,FAKE,REAL
Texas counts down the hours until new Open Carry law takes effect,REAL,FAKE
VA secretary asks Iraq War veteran: 'What have you done?',REAL,FAKE
How Millennial voters see this election,REAL,FAKE
Black Millennials: Don’t Help Donald Trump,REAL,FAKE
CHARLESTON ‘ON EGGSHELLS’ ON EVE OF TWO RACIALLY CHARGED TRIALS |,FAKE,REAL
The controversial test that's poised to replace the Pap smear,REAL,FAKE
Putin Warns “US Has Pushed Russia Back Into Nuclear Arms Race”,FAKE,REAL
The College Loan Bombshell Hidden in the Budget,REAL,FAKE
Report: Trump Used Foundation Money to Launch Presidential Campaign,REAL,FAKE
"As Always, U.S. Adores a Good Sex Scandal",REAL,FAKE
The Fatal Expense Of American Imperialism,FAKE,REAL
Fighting ISIS will be a long war,REAL,FAKE
"Private Equity Consultant Hamilton Lane Trots Out New Excuse, “Evil Populists,” for Already-Flagging Private Equity Performance",FAKE,REAL
Life Among the Berned,REAL,FAKE
Hillary Releases The Most Inspiring Video EVER Chronicling Her Historic Rise To The Top,FAKE,REAL
Limbaugh: Democrats would 'destroy Jesus Christ',FAKE,REAL
Taking Care of Your Eye Health the Natural Way,FAKE,REAL
Who had to go :-),FAKE,REAL
Will the anti-Clinton revolt among American elites gain momentum?,FAKE,REAL
We Finally Know Why Hillary Disappeared On Election Night: “She Was Crying Inconsolably… It Was Hard To Understand What She Was Saying She Was Crying So Hard”,FAKE,REAL
President-elect Donald Trump eyes Ovala Office with plans to erase Barack Obama’s achievements,FAKE,REAL
"Defense Bill Would Put 100,000 Untraceable Guns On Streets",REAL,FAKE
IOWA FARMER CLAIMS BILL CLINTON HAD SEX WITH COW DURING ‘COCAINE PARTY’,FAKE,REAL
State Department will not release 22 'top secret' Clinton emails,REAL,FAKE
"With 3:20 a.m. tweet storm Saturday, Clinton continues to mock Trump’s Friday ‘meltdown’",REAL,FAKE
Why hydrogen peroxide should be in every home,FAKE,REAL
Donald Trump and Hillary Clinton walk in to a bar,FAKE,REAL
"FEAR OF TRUMP: BUSH, OBAMA, CLINTON ALL BUYING PROPERTY IN NON-EXTRADITION NATIONS",FAKE,REAL
Future Diwali celebrations to be organized by ISIS!,FAKE,REAL
370 Economists Sign Letter Urging America Not To Vote For Donald Trump,FAKE,REAL
"No, Mexico Doesn’t Have A Wall On Its Southern Border—But If Trump Wins It Might Build One",FAKE,REAL
"Awesome Video Shows The REAL Donald Trump, Presidential Candidate",FAKE,REAL
Running on the Hillary Ticket? Then Let Me Ask…,FAKE,REAL
"Critics on Islam: Time to Face Facts, Mr. President",REAL,FAKE
Jimmy Carter offers help for Russia’s bombing campaign in Syria,REAL,FAKE
Venezuela crisis enters dangerous phase as Maduro foes go militant,FAKE,REAL
Yosemite free-climbers reach top of El Capitan,REAL,FAKE
Trump calls for charges against Clinton after FBI interview in email investigation,REAL,FAKE
Rudy Giuliani's fall from America's Mayor,REAL,FAKE
Time: Investigating Hillary is an Attack on All Women,FAKE,REAL
"ING TO CUT 7,000 JOBS…",FAKE,REAL
"High school, middle school kids now use more e-cigs than tobacco: CDC",REAL,FAKE
23 Things to Do to Improve Your Mental Health,FAKE,REAL
"‘Most wanted’ drug baron hands himself in, says life on the run ‘got too much’",FAKE,REAL
"India is building millions of toilets, but that’s the easy part",REAL,FAKE
Kurds Worried Turkey Will Stab Them in the Back as They Fight ISIS,FAKE,REAL
Security Politics and the Closing of the Open Society,FAKE,REAL
The Political Songs Of Leonard Cohen,FAKE,REAL
"Buffett: If I Ran Fed, I Would Not Raise Rates Significantly",REAL,FAKE
The myth of the ‘anchor baby’ deportation defense,REAL,FAKE
Planned Parenthood: Abortion pill usage now rivals surgery,FAKE,REAL
"2 Reminders to Ignore the ""Trump is Doomed"" Polls",FAKE,REAL
Rapper Lil Wayne: “My Life Was Saved by a White Man. I Don’t Know What Racism is.”,FAKE,REAL
It Looks Like George Soros Is Funding The Trump Protests Just Like He Funded The Ferguson Riots,FAKE,REAL
Place your bets now. How much does someone’s world view predict their other attitudes?,REAL,FAKE
Suspect captured in ‘ambush-style’ killings of two Iowa cops,FAKE,REAL
“Scary Stories In 5 Words” are terrifying tales for people short on time,FAKE,REAL
U.S. drone strike accidentally killed 2 hostages,REAL,FAKE
Baba Vanga Was Right About Obama's Presidency And The 9/11 Attacks Sees Dire Future For Trump And The US,FAKE,REAL
Downing of Russian plane reveals potential for more conflict,REAL,FAKE
LIVE: Hillary Clinton Addresses Nation for First Time Following Presidential Race,FAKE,REAL
U.S. secretly tracked billions of calls for decades,REAL,FAKE
Soy should not be consumed in significant quantities unless it has been fermented or otherwise traditionally processed; industrially processed soy should be avoided,FAKE,REAL
In Consideration of the Supreme Importance of Love,FAKE,REAL
Obama Pushes Castro on Human Rights During Joint Conference,REAL,FAKE
Pope Francis Commemorates 500th Anniversary Of Protestant Reformation,FAKE,REAL
The Most Unhealthy Jobs in America,FAKE,REAL
Japan approves already dead TPP deal,FAKE,REAL
James O’Keefe releases another Project Veritas video claiming Hillary Clinton campaign is “bird dogging”,REAL,FAKE
Russia May Deny LGBT Driver's Licenses,REAL,FAKE
Prison employee pleaded not guilty to aiding escape of two murderers,REAL,FAKE
The ‘Two-Party Racket’ Is Incapable of Dealing With Our Present Crises,FAKE,REAL
The Trump – Epstein Rape Lawsuit,FAKE,REAL
DNC Files Lawsuit to Bar Citizen Journalists From the Polls,FAKE,REAL
Trump’s Camp Manager DESTROYS Hillary By Pointing Out 1 Thing We All Missed,FAKE,REAL
Green Party’s Margaret Flowers Challenges US Senate Debate in Maryland as Undemocratic,FAKE,REAL
Biden Doesn't Stand a Chance. Clinton's Secretary of State Will Be Vicky Nuland - Daniel Larison,FAKE,REAL
Top five donors to Clinton campaign are Jewish,FAKE,REAL
Why I’m Suing Vanderbilt University,FAKE,REAL
The man who spoke softly but carried a big stick,FAKE,REAL
Here’s What Happens in Your Brain When You Lie,FAKE,REAL
"David Sweat shot, captured alive after New York manhunt",REAL,FAKE
WATCH As Chris Cuomo Tells Rudy Giuliani: You Live In Fact-Free ‘Trumpland’,FAKE,REAL
Jesus Christ’s ‘Burial Slab’ Uncovered During Restoration,FAKE,REAL
California National Guard Members won’t have to Pay Back Bonuses,FAKE,REAL
VIDEO COMPILATION: Pundits and Politicians Insist Donald Trump Cannot Win Election,FAKE,REAL
WATCH: Louis CK’s EPIC Answer on Trump vs. Hillary,FAKE,REAL
India Strengthens Digital Infrastructure for Villages,REAL,FAKE
CrossTalk on US election: Criminal in Chief?,FAKE,REAL
How To Plan Farmer’s Calendar All Year Round,FAKE,REAL
Is This Trump’s Biggest Financial Con Yet?,REAL,FAKE
O’Reilly denounces Mother Jones story on his war reporting,REAL,FAKE
"Food mixology: When eaten together, these foods can boost health",FAKE,REAL
Re: ‘D*ckileaks’? NY Post unveils tomorrow’s Weiner cover for your pleasure,FAKE,REAL
Russian plane crash in Sinai: All 224 on board killed,REAL,FAKE
"Walling them out, or walling us in?",FAKE,REAL
There is no nationwide crime wave (and police killings are not up),REAL,FAKE
The Dream Team Of Hillary Clinton and Michelle Obama Fire Democrats Up In North Carolina,FAKE,REAL
U.S. calls for special Intermediate-range Nuclear Forces talks - Russia accepts,FAKE,REAL
Behind Hillary’s DISGUSTING Plot To Sabotage Bernie’s Campaign,FAKE,REAL
Death of Saudi King Abdullah brings uncertain new era for US in Middle East,REAL,FAKE
Should I Get Botox?,FAKE,REAL
The Worst Takes Of 2016 Election: An Unforgiving Retrospective,FAKE,REAL
Episode #160 – SUNDAY WIRE: ‘Hail to the Deplorables’ with special guest Randy J,FAKE,REAL
Trove of Bin Laden documents released,REAL,FAKE
"Speaker at Sanders Rally Tells Crowd Not to Vote Clinton, Gets Dragged Off Stage",FAKE,REAL
"In a revealing interview, Trump predicts a ‘massive recession’ but intends to eliminate the national debt in 8 years",REAL,FAKE
"Death of millions of Yemenis in the ""forgotten war""",FAKE,REAL
How the Clintons’ Haiti development plans succeed — and disappoint,REAL,FAKE
Jesse Matthew charged in Hannah Graham slaying,REAL,FAKE
Re: It Is Now Mathematically Impossible To Pay Off The U.S. National Debt,FAKE,REAL
DISGUSTING Evolution Of Political Correctness From 200 To 2016,FAKE,REAL
Donald Trump Begs Hillary Clinton Early Voters to Change Their Votes,FAKE,REAL
The Hatred that Trump’s Lies will Leave Behind,FAKE,REAL
Dozens of intelligence analysts reportedly claim assessments of ISIS were altered,REAL,FAKE
Load of manure dumped at Democratic headquarters,FAKE,REAL
Email Reveals What Progressive Think Tank Gained By Hosting Netanyahu,FAKE,REAL
New Yorkers fight to overturn ballot selfie ban,FAKE,REAL
What is Federalism?,FAKE,REAL
NSA program reportedly helped US gather evidence against North Korea in Sony hack,REAL,FAKE
Will Latino loathing of Trump drive a voter movement to swing the election?,REAL,FAKE
"Hope for the best, prepare for the worst…",FAKE,REAL
"Saudi Arabia's King Abdullah was incremental reformer, US ally (+video)",REAL,FAKE
Is Donald Trump Autistic?,FAKE,REAL
The Sad Evolution Of Education Summed Up By One Meme,FAKE,REAL
"‘Like Warsaw ghetto’: Attendees attacked, surrounded at Israeli speaker event at London university",FAKE,REAL
ICE spends millions flying illegal immigrant children across US,REAL,FAKE
The Sad Truth About Melania Trump’s Plagiarism Snafu,REAL,FAKE
Stationing American troops in Japan will lead to bloody tragedy – ex-PM of Japan,FAKE,REAL
Partisan voters treat politics and elections like a competitive sports rivalry.,REAL,FAKE
Johnson & Johnson Lose Third Multimillion Dollar Case Over Baby Talc,FAKE,REAL
Scientists Confirm Discovery of Underground Forest in China,REAL,FAKE
Charleston exposes ugliest truth of our time: Our society places little value on black life,REAL,FAKE
"Libertarian Party VP insults Trump, practically endorses Clinton",FAKE,REAL
Michelle Obama Deletes Hillary Clinton From Twitter,FAKE,REAL
"As His Campaign Crumbles, Trump Is Spending His Day Fighting With MSNBC's Joe Scarborough",REAL,FAKE
Clinton turns Trump attacks up to 11,REAL,FAKE
Holding the Light: Visualizing the Future,FAKE,REAL
U.S.-backed Syrian rebels appeal for antiaircraft missiles,REAL,FAKE
I Envy You,FAKE,REAL
NASA Releases New Images of Saturn’s Rings,REAL,FAKE
"Health Ranger to launch revolutionary, certified organic, non-GMO preparedness food line this Thursday",FAKE,REAL
Why Debbie Wasserman Schultz failed,REAL,FAKE
UPLIFTING: Anaheim Ducks Honor Bomb Detection K9 During ‘Military Appreciation Night’,FAKE,REAL
"Turkey, Russia Headed for a Military Face-Off?",REAL,FAKE
"Why long shots and also-rans run for president: It’s the media, stupid",REAL,FAKE
Truth Is The Enemy Of The State      :,FAKE,REAL
What The Trump Skeptics Got Wrong,FAKE,REAL
"Unsurprisingly, this Ku Klux Klan leaflet has a spelling mistake",FAKE,REAL
The unemployment rate is now lower than it was at any time during Reagan's presidency,REAL,FAKE
Genetically Modified Crops in U.S. Fail to Deliver Expected Yields,FAKE,REAL
The Source of our Rage: The Ruling Elite Is Protected from the Consequences of its Dominance,FAKE,REAL
"Facebook is full of fake news stories. On Election Day, don’t fall for them.",REAL,FAKE
Marines’ killer set off no red flags,REAL,FAKE
Obama administration bans some military-style assault gear from local police departments,REAL,FAKE
Comment on WikiLeaks Shocker: Clinton Camp Considering Paul Ryan Relative as Supreme Court Nominee by Richard Johnson,FAKE,REAL
Top Clinton aide Mills reportedly walks out of FBI interview about emails,REAL,FAKE
One of this election's bright spots: early voting,REAL,FAKE
Syria's Assad says he receives info about US-led coalition's anti-ISIS strikes,REAL,FAKE
Syria's war: How did we get here?,REAL,FAKE
“Donald Trump And The Rise Of White Identity In Politics”,FAKE,REAL
Obama bans some military equipment sales to police,REAL,FAKE
"White Kids Get Medicated When They Misbehave, Black Kids Get Suspended — or Arrested",REAL,FAKE
MSNBC Makes Huge Mistake After Trying To Catch Black Family Calling Trump Racist,FAKE,REAL
Cuba has a possible lung cancer vaccine that America can now test,REAL,FAKE
"NOW FIVE FBI FIELD OFFICES ARE PROBING CLINTON CHARITY, ADDING FUEL TO THE FIRE",FAKE,REAL
"Trump Tells GOP Rally In Jerusalem He’ll ‘Make Israel, U.S. Safe Again’",FAKE,REAL
The Battleship Debate,FAKE,REAL
How the swing voter went extinct,REAL,FAKE
The Clintons really don’t get it: False attacks and failed strategies as Hillary repeats 2008,REAL,FAKE
"‘Tolerant’ Liberals Show Nothing But Contempt, Hatred Toward Nation’s Only Black Supreme Court Justice",FAKE,REAL
"Walnuts Are Drugs, Says FDA",FAKE,REAL
"British banker took 60g of cocaine while torturing & killing prostitute, court told",FAKE,REAL
Clinton Camp Tries to Deflect Suspicion as FBI Reopens Email Case,REAL,FAKE
Barrel Bomb: The Cataclysmic Close of Campaign 2016      : Information,FAKE,REAL
Memo to the Next Administration: Defense Spending Must Be For Actual Defense,FAKE,REAL
US Claims Four Arms Ships From Iran to Yemen Caught in Past 18 Months,FAKE,REAL
President Elect Trump – A New Era of Unpredictability Awaits,FAKE,REAL
Ooh Fuck,FAKE,REAL
Can any U.S. President Ever Overcome the Power of the Establishment and Bring Substantive Change to America?,FAKE,REAL
A Complete Guide To Early And Absentee Voting,REAL,FAKE
Democrats & Republicans Just Joined Forces To Condemn Comey’s Partisan Smears,FAKE,REAL
Why do people dislike Hillary Clinton? The story goes far back,REAL,FAKE
"Without Bold Agenda, Warn Progressives, A Clinton Presidency Won’t Stand Chance",FAKE,REAL
All Brexit arguments settled by 0.5 per cent third-quarter growth,FAKE,REAL
"Fox News built a f**ked-up Frankenstein, dumb, angry and divorced from facts. Now Donald Trump will devour them",REAL,FAKE
Journalism Startup Newsbud Launches Critical 2nd Crowdfund - Richard Brandt,FAKE,REAL
"You’re a Nazi, and other shocking truths according to Trump’s fact-checking rules",REAL,FAKE
“Homicides Up 55 Percent”–Chicago Stays Vibrant,FAKE,REAL
"Obama addresses human rights, ethnic divisions on final day of Kenya visit",REAL,FAKE
Nonduality and the Consciousness of 'Things' - Thich Nhat Hanh,FAKE,REAL
Elizabeth Warren Just Blasted The FBI Director For Going After Hillary Instead Of Wall Street Crooks,FAKE,REAL
This policing innovation helped fight crime. But it also led to more corruption.,REAL,FAKE
Steve Case: Why I’m voting for Hillary Clinton,REAL,FAKE
Nearly All Wild Animals Face Mass Extinction By 2020,FAKE,REAL
"Terrorism Threat: Trump is Right — Profile, Profile, Profile",FAKE,REAL
"Iran, Finland sign 4 MoUs in Tehran",FAKE,REAL
CLINTON: I’D ADD MICHELLE OBAMA TO MY CABINET,FAKE,REAL
Rescue Brings A Bit Of Good News To Nepal's Capital After Earthquake,REAL,FAKE
Brexit Ruling Just Latest Tactic to Block Will of the People,FAKE,REAL
US-backed Forces Launch Raqqa Offensive as Terror Fears Grow in Europe,FAKE,REAL
Hillary IMPLODES: Trump 'Took Everything...Paid Nothing To Support Us!',FAKE,REAL
Mobilizing in Guatemala,FAKE,REAL
"Peaceful, sincerely, with grace: Paris attacks commemorated with floating lanterns",FAKE,REAL
"Wall Street, Hollywood, The Media And SJWs Fail To Stop Donald Trump From Becoming America’s 45th President",FAKE,REAL
Kate Steinle's death and sanctuary cities: What good are our laws without enforcement?,REAL,FAKE
VIDEO: Cop Crashes Car and Runs Away When More Cops Arrive,FAKE,REAL
Why did Obama send another 450 trainers to Iraq? (+video),REAL,FAKE
Political Correctness for Yuengling Brewery; What About Our Opioid Epidemic?,FAKE,REAL
"What 20,000 pages of hacked WikiLeaks emails teach us about Hillary Clinton",REAL,FAKE
"MI5 Chief Gives First Ever Interview to Press, Hypes 'Aggressive Russia' - Jason Ditz",FAKE,REAL
Insurers use California’s assisted-suicide law to deny treatment for terminal patients,FAKE,REAL
Would A Trump Presidency Make SJWs EVEN MORE Aggressive–And Is Secession The Answer?,FAKE,REAL
Russia Begins Airstrikes In Syria After Assad's Request,REAL,FAKE
Braless Jourdan Dunn flaunt their supermodel figures in racy see-through dresses,FAKE,REAL
Is Something Wrong With Hillary? Will NOT Concede Tonight – Refuses To Speak To Crowd – Health Episode?,FAKE,REAL
The struggle continues for a binding treaty to #StopCorporateAbuse,FAKE,REAL
NASA Tests New Radiation Shield for Lunar Missions,REAL,FAKE
"Prof: Canoes reek of genocide, white privilege",FAKE,REAL
Arkansas Republicans Put The Word “Liar” In Hillary’s Name On Ballot,FAKE,REAL
"‘A noun, a verb and Donald Trump’: Rubio seeks to seize on Murphy’s flaw",FAKE,REAL
Fact Check: Democrats Have Created Twice As Many Jobs As Republicans Since 1950’s,FAKE,REAL
Dems sue GOP over Trump's 'rigged' complaints,FAKE,REAL
Bill Black: Wall Street’s Apologist-in-Chief Mansplains Regulation to Senator Warren,FAKE,REAL
Britain looking forward to bonfire night because it can’t afford to put the heating on,FAKE,REAL
How To Repair Strained Or Broken Relationships,FAKE,REAL
Non-mainstream poll shows Trump poised to win with 76% chance,FAKE,REAL
If Catcalls Were Politically Correct…,FAKE,REAL
Hillary Reboots ‘Vast Right-Wing Conspiracy’ Playbook,FAKE,REAL
Scientists Clone Woolly Mammoth for Secret Military Program,FAKE,REAL
Michael Bloomberg Names Technological Unemployment as the Next Administration’s “Greatest Conundrum”,FAKE,REAL
Robert Durst on HBO’s ‘The Jinx': I ‘killed them all.’,REAL,FAKE
US lifts Vietnam arms embargo in move to counter China,REAL,FAKE
It Looks Like George Soros is Funding the Trump Protests Just Like He Funded The Ferguson Riots,FAKE,REAL
Jordan Strikes At ISIS; Obama Said To Be Preparing To Request War Powers,REAL,FAKE
The Orlando Shooter’s 911 Calls Were Finally Released — and They’re Very Telling,FAKE,REAL
Watch The Exact Moment Paul Ryan Committed Political Suicide At A Trump Rally (VIDEO),FAKE,REAL
Would Trump presidency threaten rule of law?,REAL,FAKE
